1587, 304, 1523, 304, 1523, 264, 1587, 264
1605, 304, 1605, 264, 1657, 264, 1657, 304
1387, 387, 1211, 387, 1211, 333, 1387, 333
1528, 387, 1388, 387, 1388, 333, 1528, 333
1587, 387, 1529, 387, 1529, 333, 1587, 333
358, 457, 358, 402, 810, 402, 810, 457
953, 457, 953, 402, 1193, 402, 1193, 457
1205, 457, 1205, 402, 1380, 402, 1380, 457
1451, 457, 1451, 402, 1521, 402, 1521, 457
1650, 457, 1522, 457, 1522, 402, 1650, 402
282, 457, 282, 416, 357, 416, 357, 457
812, 457, 812, 416, 881, 416, 881, 457
888, 457, 888, 416, 952, 416, 952, 457
1387, 457, 1387, 416, 1450, 416, 1450, 457
288, 525, 253, 525, 253, 484, 288, 484
322, 525, 288, 525, 288, 484, 322, 484
1139, 525, 323, 525, 324, 484, 1139, 484
1157, 526, 1157, 485, 1350, 485, 1350, 526
1650, 539, 1351, 539, 1351, 484, 1650, 484
236, 608, 236, 553, 293, 553, 293, 608
323, 608, 323, 553, 504, 553, 504, 608
530, 609, 530, 554, 969, 554, 969, 609
994, 609, 994, 554, 1075, 554, 1075, 609
1087, 608, 1087, 553, 1580, 553, 1580, 608
1604, 678, 1470, 678, 1470, 638, 1604, 638
1657, 678, 1623, 678, 1623, 638, 1657, 638
1528, 761, 1452, 761, 1452, 707, 1528, 707
1645, 747, 1623, 747, 1623, 721, 1645, 721
1611, 830, 1611, 790, 1651, 790, 1651, 830
253, 914, 253, 859, 293, 859, 293, 914
516, 900, 370, 900, 370, 859, 516, 859
530, 900, 530, 859, 552, 859, 552, 900
576, 914, 576, 859, 657, 859, 657, 914
833, 900, 723, 900, 723, 859, 833, 859
835, 900, 835, 859, 869, 859, 869, 900
1569, 900, 894, 900, 894, 859, 1569, 859
1588, 900, 1588, 859, 1604, 859, 1604, 900
1611, 900, 1611, 859, 1651, 859, 1651, 900
1428, 983, 1428, 928, 1568, 928, 1568, 983
1588, 969, 1588, 942, 1634, 942, 1634, 969
1129, 1052, 1129, 1011, 1534, 1011, 1534, 1052
1568, 1051, 1534, 1051, 1534, 1010, 1568, 1010
1588, 1052, 1588, 1011, 1639, 1011, 1639, 1052
1134, 1134, 1134, 1080, 1568, 1080, 1568, 1134
717, 1204, 577, 1204, 577, 1164, 717, 1164
752, 1204, 718, 1204, 718, 1164, 752, 1164
822, 1204, 782, 1204, 782, 1164, 822, 1164
869, 1204, 841, 1204, 841, 1164, 869, 1164
940, 1204, 870, 1204, 870, 1164, 940, 1164
1404, 1204, 959, 1204, 959, 1164, 1404, 1164
1575, 1204, 1429, 1204, 1429, 1164, 1575, 1164
1610, 1204, 1582, 1204, 1582, 1164, 1610, 1164
1657, 1204, 1611, 1204, 1611, 1164, 1657, 1164
1335, 1274, 1335, 1233, 1575, 1233, 1575, 1274
1582, 1274, 1582, 1233, 1610, 1233, 1610, 1274
1611, 1273, 1611, 1232, 1657, 1232, 1657, 1273
953, 1357, 953, 1302, 1269, 1302, 1269, 1357
1281, 1356, 1281, 1301, 1580, 1301, 1580, 1356
1593, 1356, 1593, 1301, 1616, 1301, 1616, 1356
1651, 1356, 1617, 1356, 1617, 1301, 1651, 1301
770, 1357, 347, 1357, 347, 1316, 770, 1316
782, 1356, 782, 1315, 928, 1315, 928, 1356
247, 1425, 247, 1384, 282, 1384, 282, 1425
780, 1425, 282, 1425, 283, 1384, 780, 1384
911, 1425, 782, 1425, 782, 1384, 911, 1384
1551, 1425, 941, 1425, 941, 1384, 1551, 1384
1611, 1426, 1611, 1385, 1657, 1385, 1657, 1426
1469, 1508, 1469, 1454, 1503, 1454, 1503, 1508
1603, 1508, 1504, 1508, 1504, 1467, 1603, 1467
1617, 1508, 1617, 1467, 1657, 1467, 1657, 1508
1351, 1578, 1176, 1578, 1176, 1538, 1351, 1538
1428, 1578, 1352, 1578, 1352, 1538, 1428, 1538
1452, 1564, 1452, 1538, 1475, 1538, 1475, 1564
1482, 1578, 1482, 1538, 1563, 1538, 1563, 1578
1617, 1578, 1617, 1538, 1645, 1538, 1645, 1578
577, 1661, 577, 1607, 958, 1607, 958, 1661
976, 1661, 976, 1607, 1451, 1607, 1451, 1661
1451, 1661, 1451, 1607, 1586, 1607, 1586, 1661
1605, 1661, 1605, 1621, 1651, 1621, 1651, 1661
746, 1731, 746, 1676, 1180, 1676, 1180, 1731
276, 1731, 247, 1731, 247, 1690, 276, 1690
276, 1731, 276, 1690, 516, 1690, 516, 1731
745, 1731, 611, 1731, 611, 1690, 745, 1690
1193, 1731, 1193, 1690, 1303, 1690, 1303, 1731
1304, 1731, 1304, 1690, 1574, 1690, 1574, 1731
1588, 1731, 1588, 1690, 1610, 1690, 1610, 1731
1611, 1731, 1611, 1690, 1651, 1690, 1651, 1731
582, 1731, 582, 1704, 611, 1704, 611, 1731
1228, 1800, 959, 1800, 959, 1759, 1228, 1759
1258, 1800, 1258, 1759, 1575, 1759, 1575, 1800
1605, 1800, 1605, 1759, 1651, 1759, 1651, 1800
1604, 1800, 1588, 1800, 1588, 1773, 1604, 1773
1617, 1883, 1617, 1829, 1651, 1829, 1651, 1883
1381, 1883, 1381, 1842, 1556, 1842, 1556, 1883
418, 1952, 418, 1912, 517, 1912, 517, 1952
552, 1952, 524, 1952, 524, 1912, 552, 1912
658, 1952, 553, 1952, 553, 1912, 658, 1912
705, 1952, 659, 1952, 659, 1912, 705, 1912
805, 1952, 706, 1952, 706, 1912, 805, 1912
829, 1952, 829, 1912, 1169, 1912, 1169, 1952
1434, 1952, 1170, 1952, 1170, 1912, 1434, 1912
1575, 1952, 1435, 1952, 1435, 1912, 1575, 1912
1610, 1952, 1582, 1952, 1582, 1912, 1610, 1912
1651, 1952, 1611, 1952, 1611, 1912, 1651, 1912
1311, 2035, 1311, 1981, 1651, 1981, 1651, 2035
247, 2104, 247, 2063, 482, 2063, 482, 2104
483, 2104, 483, 2063, 517, 2063, 517, 2104
540, 2104, 540, 2063, 980, 2063, 980, 2104
1023, 2104, 1023, 2063, 1063, 2063, 1063, 2104
1168, 2104, 1063, 2104, 1063, 2063, 1168, 2063
1198, 2104, 1169, 2104, 1169, 2063, 1198, 2063
1223, 2105, 1223, 2064, 1257, 2064, 1257, 2105
1281, 2105, 1258, 2105, 1258, 2064, 1281, 2064
1304, 2104, 1304, 2063, 1574, 2063, 1574, 2104
1588, 2104, 1588, 2063, 1604, 2063, 1604, 2104
1605, 2104, 1605, 2063, 1651, 2063, 1651, 2104
1450, 2187, 1310, 2187, 1310, 2132, 1450, 2132
1451, 2187, 1451, 2132, 1486, 2132, 1486, 2187
1556, 2187, 1487, 2187, 1487, 2132, 1556, 2132
1651, 2174, 1623, 2174, 1623, 2147, 1651, 2147
1205, 2256, 1205, 2215, 1574, 2215, 1574, 2256
1582, 2256, 1582, 2215, 1651, 2215, 1651, 2256
929, 2326, 929, 2286, 1105, 2286, 1105, 2326
1106, 2326, 1106, 2286, 1175, 2286, 1175, 2326
1176, 2326, 1176, 2286, 1540, 2286, 1540, 2326
1575, 2326, 1541, 2326, 1541, 2286, 1575, 2286
1582, 2326, 1582, 2286, 1610, 2286, 1610, 2326
1651, 2326, 1611, 2326, 1611, 2286, 1651, 2286
1622, 2409, 1535, 2409, 1535, 2369, 1622, 2369
1651, 2409, 1623, 2409, 1623, 2369, 1651, 2369
